Plugin,"Plugin Name","Family","Severity","VPR","EPSS","Host Total","Total"
1006217,"[2.3.17.2][MS][2016][DC][v4.0.0][L1] Ensure 'User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode' is set to 'Prompt for consent on the secure desktop' or higher","N/A","Medium","","","1","1"
1006218,"[2.3.17.3][MS][2016][DC][v4.0.0][L1] Ensure 'User Account Control: Behavior of the elevation prompt for standard users' is set to 'Automatically deny elevation requests'","N/A","Medium","","","1","1"
1006219,"[2.3.17.4][MS][2016][DC][v4.0.0][L1] Ensure 'User Account Control: Detect application installations and prompt for elevation' is set to 'Enabled'","N/A","Medium","","","1","1"
1006220,"[2.3.17.5][MS][2016][DC][v4.0.0][L1] Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled'","N/A","Medium","","","1","1"
1006221,"[2.3.17.6][MS][2016][DC][v4.0.0][L1] Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled'","N/A","Medium","","","1","1"
1006222,"[2.3.17.7][MS][2016][DC][v4.0.0][L1] Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled'","N/A","Medium","","","1","1"
1006223,"[2.3.17.8][MS][2016][DC][v4.0.0][L1] Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled'","N/A","Medium","","","1","1"
1006224,"[2.3.2.1][MS][2016][DC][v4.0.0][L1] Ensure 'Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings' is set to 'Enabled'","N/A","Medium","","","1","1"
1006225,"[2.3.2.2][MS][2016][DC][v4.0.0][L1] Ensure 'Audit: Shut down system immediately if unable to log security audits' is set to 'Disabled'","N/A","Medium","","","1","1"
1006231,"[2.3.7.7][MS][2016][DC][v4.0.0][L1] Ensure 'Interactive logon: Prompt user to change password before expiration' is set to 'between 5 and 14 days'","N/A","Medium","","","1","1"
1006233,"[2.3.8.1][MS][2016][DC][v4.0.0][L1] Ensure 'Microsoft network client: Digitally sign communications (always)' is set to 'Enabled'","N/A","Medium","","","1","1"
1006234,"[2.3.8.2][MS][2016][DC][v4.0.0][L1] Ensure 'Microsoft network client: Digitally sign communications (if server agrees)' is set to 'Enabled'","N/A","Medium","","","1","1"
1006238,"[2.3.8.3][MS][2016][DC][v4.0.0][L1] Ensure 'Microsoft network client: Send unencrypted password to third-party SMB servers' is set to 'Disabled'","N/A","Medium","","","1","1"
1006239,"[2.3.9.1][MS][2016][DC][v4.0.0][L1] Ensure 'Microsoft network server: Amount of idle time required before suspending session' is set to '15 or fewer minute(s)'","N/A","Medium","","","1","1"
1006241,"[2.3.9.2][MS][2016][DC][v4.0.0][L1] Ensure 'Microsoft network server: Digitally sign communications (always)' is set to 'Enabled'","N/A","Medium","","","1","1"
1006242,"[2.3.9.3][MS][2016][DC][v4.0.0][L1] Ensure 'Microsoft network server: Digitally sign communications (if client agrees)' is set to 'Enabled'","N/A","Medium","","","1","1"
1006243,"[2.3.9.4][MS][2016][DC][v4.0.0][L1] Ensure 'Microsoft network server: Disconnect clients when logon hours expire' is set to 'Enabled'","N/A","Medium","","","1","1"
1006284,"[18.10.76.2.1][MS][2016][DC][v4.0.0][L1] Ensure 'Configure Windows Defender SmartScreen' is set to 'Enabled: Warn and prevent bypass'","N/A","Medium","","","1","1"
